Window,Non-Window,Sec-Non-Window,Sec-Window
1.0,225.0,226.0,450.0
2.0,224.0,227.0,449.0
3.0,223.0,228.0,448.0
4.0,222.0,229.0,447.0
5.0,221.0,230.0,446.0
6.0,220.0,231.0,445.0
7.0,219.0,232.0,444.0
8.0,218.0,233.0,443.0
9.0,217.0,234.0,442.0
10.0,216.0,235.0,441.0
11.0,215.0,236.0,440.0
12.0,214.0,237.0,439.0
13.0,213.0,238.0,438.0
14.0,212.0,239.0,437.0
15.0,211.0,240.0,436.0
16.0,210.0,241.0,435.0
17.0,209.0,242.0,434.0
18.0,208.0,243.0,433.0
19.0,207.0,244.0,432.0
20.0,206.0,245.0,431.0
21.0,205.0,246.0,430.0
22.0,204.0,247.0,429.0
23.0,203.0,248.0,428.0
24.0,202.0,249.0,427.0
25.0,201.0,250.0,426.0
26.0,200.0,251.0,425.0
27.0,199.0,252.0,424.0
28.0,198.0,253.0,423.0
29.0,197.0,254.0,422.0
30.0,196.0,255.0,421.0
31.0,195.0,256.0,420.0
32.0,194.0,257.0,419.0
33.0,193.0,258.0,418.0
34.0,192.0,259.0,417.0
35.0,191.0,260.0,416.0
36.0,190.0,261.0,415.0
37.0,189.0,262.0,414.0
38.0,188.0,263.0,413.0
39.0,187.0,264.0,412.0
40.0,186.0,265.0,411.0
41.0,185.0,266.0,410.0
42.0,184.0,267.0,409.0
43.0,183.0,268.0,408.0
44.0,182.0,269.0,407.0
45.0,181.0,270.0,406.0
46.0,180.0,271.0,405.0
47.0,179.0,272.0,404.0
48.0,178.0,273.0,403.0
49.0,177.0,274.0,402.0
50.0,176.0,275.0,401.0
51.0,175.0,276.0,400.0
52.0,174.0,277.0,399.0
53.0,173.0,278.0,398.0
54.0,172.0,279.0,397.0
55.0,171.0,280.0,396.0
56.0,170.0,281.0,395.0
57.0,169.0,282.0,394.0
58.0,168.0,283.0,393.0
59.0,167.0,284.0,392.0
60.0,166.0,285.0,391.0
61.0,165.0,286.0,390.0
62.0,164.0,287.0,389.0
63.0,163.0,288.0,388.0
64.0,162.0,289.0,387.0
65.0,161.0,290.0,386.0
66.0,160.0,291.0,385.0
67.0,159.0,292.0,384.0
68.0,158.0,293.0,383.0
69.0,157.0,294.0,382.0
70.0,156.0,295.0,381.0
71.0,155.0,296.0,380.0
72.0,154.0,297.0,379.0
73.0,153.0,298.0,378.0
74.0,152.0,299.0,377.0
75.0,151.0,300.0,376.0
76.0,150.0,301.0,375.0
77.0,149.0,302.0,374.0
78.0,148.0,303.0,373.0
,147.0,304.0,
,146.0,305.0,
,145.0,306.0,
,144.0,307.0,
,143.0,308.0,
,142.0,309.0,
,141.0,310.0,
,140.0,311.0,
,139.0,312.0,
,138.0,313.0,
,137.0,314.0,
,136.0,315.0,
,135.0,316.0,
,134.0,317.0,
,133.0,318.0,
,132.0,319.0,
,131.0,320.0,
,130.0,321.0,
,129.0,322.0,
,128.0,323.0,
,127.0,324.0,
,126.0,325.0,
,125.0,326.0,
,124.0,327.0,
,123.0,328.0,
,122.0,329.0,
,121.0,330.0,
,120.0,331.0,
,119.0,332.0,
,118.0,333.0,
,117.0,334.0,
,116.0,335.0,
,115.0,336.0,
,114.0,337.0,
,113.0,338.0,
,112.0,339.0,
,111.0,340.0,
,110.0,341.0,
,109.0,342.0,
,108.0,343.0,
,107.0,344.0,
,106.0,345.0,
,105.0,346.0,
,104.0,347.0,
,103.0,348.0,
,102.0,349.0,
,101.0,350.0,
,100.0,351.0,
,99.0,352.0,
,98.0,353.0,
,97.0,354.0,
,96.0,355.0,
,95.0,356.0,
,94.0,357.0,
,93.0,358.0,
,92.0,359.0,
,91.0,360.0,
,90.0,361.0,
,89.0,362.0,
,88.0,363.0,
,87.0,364.0,
,86.0,365.0,
,85.0,366.0,
,84.0,367.0,
,83.0,368.0,
,82.0,369.0,
,81.0,370.0,
,80.0,371.0,
,79.0,372.0,
