Train No.,Train Name,Train Source,Train Destination,Train Arrival Time,Train Departure Time,Cost,Total Seats,Window Seats,non_window_seats
20902,VANDE BHARAT EXP,GANDHINAGAR CAP ,MUMBAI CENTRAL,04:00:00,05:00:00,1950,450,208,220.0
82902,TEJAS EXP,AHMEDABAD JN,MUMBAI CENTRAL ,06:00:00,06:40:00,3609,120,49,69.0
22924,BDTS HUMSAFAR,JAMNAGAR,BANDRA TERMINUS ,20:00:00,20:15:00,1360,450,250,200.0
12962,AVANTIKA EXP ,INDORE JN BG,MUMBAI CENTRAL,17:15:00,17:40:00,2850,800,250,550.0
12934,KARNAVATI EXP,MUMBAI CENTRAL,AHMEDABAD JN ,05:00:00,05:30:00,665,700,350,350.0
22930,BRC DRD SFAST,VADODARA JN ,DAHANU ROAD ,06:00:00,06:25:00,350,500,300,200.0
22902,UDZ BDTS SF EXP,UDAIPUR CITY ,BANDRA TERMINUS ,21:00:00,21:10:00,1250,560,230,330.0
20924,GIMB TEN EXP,GANDHIDHAM BG ,TIRUNELVELI ,04:30:00,04:40:00,450,600,240,360.0
12655,NAVJEEVAN EXP,AHMEDABAD JN,MGR CHENNAI CTL,21:00:00,21:25:00,2585,650,450,200.0
22954,GUJARAT SF EXP,AHMEDABAD JN,MUMBAI CENTRAL,07:00:00,07:10:00,185,450,107,322.0
12917,GUJRAT S KRANTI,AHMEDABAD JN,H NIZAMUDDIN,15:00:00,15:30:00,880,450,7,434.0
22666,UDAY Express,Coimbatore JN,Bengaluru,5:30,5:45:00,850,600,246,349.0
23,jk,jk,jk,06:00:00,06:40:00,12,8,2,1.0
2,fgfd,d,kfgd,20:00:00,20:15:00,65,120,59,60.0
65415,jkhv,jkdh,jdsh,17:15:00,17:40:00,45,10,5,5.0
45,juo,jkf,klf,05:00:00,05:30:00,65,9,4,5.0
635,f,fjk,jk,06:00:00,06:25:00,65,9,5,4.0
65,klnf,kf,kldf,21:00:00,21:10:00,45,8,5,3.0
35,djkf,jksdf,kdf,04:30:00,04:40:00,56,20,5,15.0
78,klm,fklg,fkl,21:00:00,21:25:00,451,9,5,4.0
1237,j,jkv,jx,07:00:00,07:10:00,45,9,3,5.0
4685,iojko,j,kl,15:00:00,15:30:00,45,15,4,11.0
654,jh,jkiu,sfsd,21:00:00,21:25:00,68,54,9,7.0
6,klsfd,sdklfm,kf,07:00:00,07:10:00,3,11,5,6.0
45,sdkl,sdd,kl,20:00:00,20:15:00,654,11,5,6.0
235165,l,fdkg,dfgk,17:15:00,17:40:00,95,46,20,5.0
654,gfjh,gfklh,khl,05:00:00,05:30:00,65,20,6,14.0
654,jkg,jkh,kl,06:00:00,06:25:00,65,20,6,14.0
8,jh,jkldf,klf,21:00:00,21:10:00,54,20,3,12.0
29,jfkd,adi,bbr,04:30:00,04:40:00,450,40,15,25.0
24,df,f,sd,21:00:00,21:25:00,4,10,2,7.0
123456,ABC Exp,QA,C,07:00:00,07:10:00,123,80,41,35.0
564,kls,sdf,fs,15:00:00,15:30:00,53,54,12,42.0
789,Ferrari Exp,ADI,BH,21:00:00,21:25:00,450,450,156,294.0
5,hds,sdk,dfk,07:00:00,07:10:00,45,456,45,411.0
4856,gmfd,fsjkg,fjklsg,20:00:00,20:15:00,450,450,9,437.0
12346,hjkxz,xzc,zxc,17:15:00,17:40:00,450,350,120,230.0
132,fd,sfkl,sfd,05:00:00,05:30:00,45,230,116,110.0
4,gf,fg,fd,06:00:00,06:25:00,4,45,12,33.0
7,Seven,s,n,21:00:00,21:10:00,850,3,0,2.0
3,s,p,a,12:00:00,12:00:00,450,20,5,15.0
4156,k,k,k,12:01:00,01:00:00,450,230,120,110.0
56,jh,df,sfdf,21:01:00,01:00:00,450,230,120,110.0
899,fd,hell,fsd,01:00:00,06:00:00,450,50,23,27.0
5456,fg,gfd,fgd,12:00:00,01:00:00,650,123,12,111.0
465,fg,fdg,gd,12:00:00,01:00:00,54,256,12,244.0
748,dsf,sdf,sdf,12:00:00,02:00:00,450,120,23,97.0
546,gfdf,fdgdf,gf,12:00:00,01:00:00,40,120,45,75.0
9,klfdg,a,b,03:00:00,04:00:00,5,25,4,20.0
12658,somnath exp,somnath,adi,08:00:00,08:05:00,50,40,0,36.0
90,jk,jk,jkh,01:00:00,02:00:00,450,120,12,108.0
123,one,one,three,01:00:00,02:00:00,450,120,27,90.0
452,avc,sdf,sdfg,01:00:00,02:00:00,5503,120,53,64.0
7894,ds,gf,fg,02:00:00,02:30:00,4561,111,53,56.0
19223,ADI JAT EXP,AHMEDABAD JN,JAMMU TAWI,11:00:00,11:05:00,590,450,119,330.0
